553 Boulevard Saint-Séverin, 0 étage, 17677, Montpellier, Nord-Pas-de-Calais, France
599 Rue Joubert, Apt. 089, 40785, Besançon, Centre, France
6 Rue de Richelieu, 7 étage, 78682, Villeneuve-d'Ascq, Languedoc-Roussillon, France
5119 Allée de Caumartin, 6 étage, 66275, Saint-Étienne, Lorraine, France
45 Impasse Monsieur-le-Prince, Apt. 307, 63533, Colombes, Champagne-Ardenne, France
1073 Allée des Rosiers, 9 étage, 61112, Quimper, Franche-Comté, France
4 Quai de Rivoli, Apt. 006, 70347, Brest, Basse-Normandie, France
64 Impasse de la Ferronnerie, 7 étage, 46623, Fort-de-France, Île-de-France, France
0399 Place de Provence, Apt. 007, 31000, Aubervilliers, Provence-Alpes-Côte d'Azur, France
77 Allée de la Harpe, 7 étage, 35867, Vitry-sur-Seine, Pays de la Loire, France
1802 Quai du Faubourg Saint-Honoré, Apt. 277, 88576, Nantes, Midi-Pyrénées, France
1357 Impasse de Rivoli, 6 étage, 57618, Courbevoie, Poitou-Charentes, France
30 Place des Panoramas, 2 étage, 38273, Pau, Centre, France
95 Passage d'Assas, 1 étage, 20218, Montreuil, Champagne-Ardenne, France
0 Impasse Adolphe Mille, 4 étage, 68764, Villejuif, Île-de-France, France
05 Rue du Dahomey, 2 étage, 50082, Saint-Nazaire, Bourgogne, France
8 Quai Saint-Jacques, 4 étage, 75536, Nantes, Haute-Normandie, France
978 Place Oberkampf, Apt. 779, 09472, Saint-Denis, Languedoc-Roussillon, France
55 Rue Vaneau, 8 étage, 94817, Tourcoing, Champagne-Ardenne, France
8 Quai de Nesle, 2 étage, 13417, Lyon, Lorraine, France
26 Voie des Rosiers, 9 étage, 79658, La Seyne-sur-Mer, Poitou-Charentes, France
7030 Place Molière, Apt. 021, 32531, Nice, Champagne-Ardenne, France
262 Passage de Montmorency, Apt. 222, 32141, Beauvais, Alsace, France
4715 Allée de la Harpe, Apt. 372, 60884, Orléans, Limousin, France
273 Voie Adolphe Mille, Apt. 711, 11895, Le Tampon, Languedoc-Roussillon, France
